Notes,State of Residence,State of Residence Code,Year,Year Code,Births
,Maryland,24,2021,2021,68285
Total,Maryland,24,,,278097
,Massachusetts,25,2018,2018,69109
,Massachusetts,25,2019,2019,69117
,Massachusetts,25,2020,2020,66428
,Massachusetts,25,2021,2021,69137
Total,Massachusetts,25,,,273791
,Michigan,26,2018,2018,110032
,Michigan,26,2019,2019,107886
,Michigan,26,2020,2020,104074
,Michigan,26,2021,2021,104980
Total,Michigan,26,,,426972
,Minnesota,27,2018,2018,67344
,Minnesota,27,2019,2019,66027
,Minnesota,27,2020,2020,63443
,Minnesota,27,2021,2021,64425
Total,Minnesota,27,,,261239
,Mississippi,28,2018,2018,37000
,Mississippi,28,2019,2019,36636
,Mississippi,28,2020,2020,35473
,Mississippi,28,2021,2021,35156
Total,Mississippi,28,,,144265
,Missouri,29,2018,2018,73269
,Missouri,29,2019,2019,72127
,Missouri,29,2020,2020,69285
,Missouri,29,2021,2021,69453
Total,Missouri,29,,,284134
,Montana,30,2018,2018,11513
,Montana,30,2019,2019,11079
,Montana,30,2020,2020,10791
,Montana,30,2021,2021,11231
Total,Montana,30,,,44614
,Nebraska,31,2018,2018,25488
,Nebraska,31,2019,2019,24755
,Nebraska,31,2020,2020,24291
,Nebraska,31,2021,2021,24609
Total,Nebraska,31,,,99143
,Nevada,32,2018,2018,35682
,Nevada,32,2019,2019,35072
,Nevada,32,2020,2020,33653
,Nevada,32,2021,2021,33686
Total,Nevada,32,,,138093
,New Hampshire,33,2018,2018,11995
,New Hampshire,33,2019,2019,11839
,New Hampshire,33,2020,2020,11791
,New Hampshire,33,2021,2021,12625
Total,New Hampshire,33,,,48250
,New Jersey,34,2018,2018,101223
,New Jersey,34,2019,2019,99585
,New Jersey,34,2020,2020,97954
,New Jersey,34,2021,2021,101497
Total,New Jersey,34,,,400259
,New Mexico,35,2018,2018,23039
,New Mexico,35,2019,2019,22960
,New Mexico,35,2020,2020,21903
,New Mexico,35,2021,2021,21391
Total,New Mexico,35,,,89293
,New York,36,2018,2018,226238
,New York,36,2019,2019,221539
,New York,36,2020,2020,209338
,New York,36,2021,2021,210742
Total,New York,36,,,867857
,North Carolina,37,2018,2018,118954
,North Carolina,37,2019,2019,118725
,North Carolina,37,2020,2020,116730
,North Carolina,37,2021,2021,120466
Total,North Carolina,37,,,474875
,North Dakota,38,2018,2018,10636
,North Dakota,38,2019,2019,10454
,North Dakota,38,2020,2020,10059
,North Dakota,38,2021,2021,10112
Total,North Dakota,38,,,41261
,Ohio,39,2018,2018,135134
,Ohio,39,2019,2019,134461
,Ohio,39,2020,2020,129191
,Ohio,39,2021,2021,129791
Total,Ohio,39,,,528577
,Oklahoma,40,2018,2018,49800
,Oklahoma,40,2019,2019,49143
,Oklahoma,40,2020,2020,47623
,Oklahoma,40,2021,2021,48410
Total,Oklahoma,40,,,194976
,Oregon,41,2018,2018,42188
,Oregon,41,2019,2019,41858
,Oregon,41,2020,2020,39820
,Oregon,41,2021,2021,40914
Total,Oregon,41,,,164780
,Pennsylvania,42,2018,2018,135673
,Pennsylvania,42,2019,2019,134230
,Pennsylvania,42,2020,2020,130693
,Pennsylvania,42,2021,2021,132622
Total,Pennsylvania,42,,,533218
,Rhode Island,44,2018,2018,10506
,Rhode Island,44,2019,2019,10175
,Rhode Island,44,2020,2020,10101
,Rhode Island,44,2021,2021,10464
Total,Rhode Island,44,,,41246
,South Carolina,45,2018,2018,56669
,South Carolina,45,2019,2019,57038
,South Carolina,45,2020,2020,55704
,South Carolina,45,2021,2021,57185
Total,South Carolina,45,,,226596
,South Dakota,46,2018,2018,11893
,South Dakota,46,2019,2019,11449
,South Dakota,46,2020,2020,10960
,South Dakota,46,2021,2021,11369
Total,South Dakota,46,,,45671
,Tennessee,47,2018,2018,80751
,Tennessee,47,2019,2019,80450
,Tennessee,47,2020,2020,78689
,Tennessee,47,2021,2021,81717
Total,Tennessee,47,,,321607
,Texas,48,2018,2018,378624
,Texas,48,2019,2019,377599
,Texas,48,2020,2020,368190
,Texas,48,2021,2021,373594
Total,Texas,48,,,1498007
,Utah,49,2018,2018,47209
,Utah,49,2019,2019,46826
,Utah,49,2020,2020,45702
,Utah,49,2021,2021,46712
Total,Utah,49,,,186449
,Vermont,50,2018,2018,5432
,Vermont,50,2019,2019,5361
,Vermont,50,2020,2020,5133
,Vermont,50,2021,2021,5384
Total,Vermont,50,,,21310
,Virginia,51,2018,2018,99843
,Virginia,51,2019,2019,97429
,Virginia,51,2020,2020,94749
,Virginia,51,2021,2021,95825
Total,Virginia,51,,,387846
,Washington,53,2018,2018,86085
,Washington,53,2019,2019,84895
,Washington,53,2020,2020,83086
,Washington,53,2021,2021,83911
Total,Washington,53,,,337977
,West Virginia,54,2018,2018,18248
,West Virginia,54,2019,2019,18136
,West Virginia,54,2020,2020,17323
,West Virginia,54,2021,2021,17198
Total,West Virginia,54,,,70905
,Wisconsin,55,2018,2018,64098
,Wisconsin,55,2019,2019,63270
,Wisconsin,55,2020,2020,60594
,Wisconsin,55,2021,2021,61781
Total,Wisconsin,55,,,249743
,Wyoming,56,2018,2018,6562
,Wyoming,56,2019,2019,6565
,Wyoming,56,2020,2020,6128
,Wyoming,56,2021,2021,6237
Total,Wyoming,56,,,25492
Total,,,,,14817191
---,,,,,
"Dataset: Natality, 2016-2021 expanded",,,,,
Query Parameters:,,,,,
Year: 2018; 2019; 2020; 2021,,,,,
Group By: State of Residence; Year,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: False,,,,,
"Calculate Rates Per: 1,000",,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Mar 10, 2023 8:29:31 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by",,,,,
the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at,,,,,
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 10, 2023 8:29:31 PM",,,,,
---,,,,,
Caveats:,,,,,
1. Each birth record represents one liveborn infant.,,,,,
