Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate
,Missouri,29,2018,2018,12,6126452,Unreliable
,Missouri,29,2019,2019,12,6137428,Unreliable
,Missouri,29,2020,2020,30,6151548,0.5
,Missouri,29,2021,2021,19,6168187,Unreliable
,Nevada,32,2021,2021,10,3143991,Unreliable
,New Jersey,34,2018,2018,27,8908520,0.3
,New Jersey,34,2019,2019,18,8882190,Unreliable
,New Jersey,34,2020,2020,27,8882371,0.3
,New Jersey,34,2021,2021,31,9267130,0.3
,New Mexico,35,2021,2021,17,2115877,Unreliable
,New York,36,2018,2018,47,19542209,0.2
,New York,36,2019,2019,49,19453561,0.3
,New York,36,2020,2020,37,19336776,0.2
,New York,36,2021,2021,55,19835913,0.3
,North Carolina,37,2018,2018,13,10383620,Unreliable
,North Carolina,37,2019,2019,26,10488084,0.2
,North Carolina,37,2020,2020,34,10600823,0.3
,North Carolina,37,2021,2021,53,10551162,0.5
,Ohio,39,2018,2018,19,11689442,Unreliable
,Ohio,39,2019,2019,32,11689100,0.3
,Ohio,39,2020,2020,34,11693217,0.3
,Ohio,39,2021,2021,41,11780017,0.3
,Oklahoma,40,2018,2018,15,3943079,Unreliable
,Oklahoma,40,2019,2019,11,3956971,Unreliable
,Oklahoma,40,2020,2020,10,3980783,Unreliable
,Oklahoma,40,2021,2021,23,3986639,0.6
,Oregon,41,2020,2020,13,4241507,Unreliable
,Pennsylvania,42,2018,2018,19,12807060,Unreliable
,Pennsylvania,42,2019,2019,25,12801989,0.2
,Pennsylvania,42,2020,2020,16,12783254,Unreliable
,Pennsylvania,42,2021,2021,29,12964056,0.2
,South Carolina,45,2018,2018,14,5084127,Unreliable
,South Carolina,45,2019,2019,17,5148714,Unreliable
,South Carolina,45,2020,2020,18,5218040,Unreliable
,South Carolina,45,2021,2021,25,5190705,0.5
,Tennessee,47,2018,2018,21,6770010,0.3
,Tennessee,47,2019,2019,21,6829174,0.3
,Tennessee,47,2020,2020,41,6886834,0.6
,Tennessee,47,2021,2021,51,6975218,0.7
,Texas,48,2018,2018,70,28701845,0.2
,Texas,48,2019,2019,69,28995881,0.2
,Texas,48,2020,2020,118,29360759,0.4
,Texas,48,2021,2021,164,29527941,0.6
,Utah,49,2019,2019,11,3205958,Unreliable
,Utah,49,2021,2021,13,3337975,Unreliable
,Virginia,51,2018,2018,16,8517685,Unreliable
,Virginia,51,2019,2019,21,8535519,0.2
,Virginia,51,2020,2020,28,8590563,0.3
,Virginia,51,2021,2021,48,8642274,0.6
,Washington,53,2018,2018,13,7535591,Unreliable
,Washington,53,2019,2019,23,7614893,0.3
,Washington,53,2020,2020,16,7693612,Unreliable
,Washington,53,2021,2021,17,7738692,Unreliable
,Wisconsin,55,2021,2021,12,5895908,Unreliable
---,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2021, Single Race",,,,,,,
Query Parameters:,,,,,,,
"ICD-10 Codes: A34 (Obstetrical tetanus); O00-O07 (Pregnancy with abortive outcome); O10-O16 (Oedema, proteinuria and",,,,,,,
"hypertensive disorders in pregnancy, childbirth and the puerperium); O20-O29 (Other maternal disorders predominantly related to",,,,,,,
pregnancy); O30-O48 (Maternal care related to the fetus and amniotic cavity and possible delivery problems); O60-O75,,,,,,,
(Complications of labour and delivery); O85-O92 (Complications predominantly related to the puerperium); O95 (Obstetric death of,,,,,,,
"unspecified cause); O98.0 (Tuberculosis complicating pregnancy, childbirth and the puerperium); O98.1 (Syphilis complicating",,,,,,,
"pregnancy, childbirth and the puerperium); O98.2 (Gonorrhoea complicating pregnancy, childbirth and the puerperium); O98.3",,,,,,,
"(Other infections with a predominantly sexual mode of transmission complicating pregnancy, childbirth and the puerperium); O98.4",,,,,,,
"(Viral hepatitis complicating pregnancy, childbirth and the puerperium); O98.5 (Other viral diseases complicating pregnancy,",,,,,,,
"childbirth and the puerperium); O98.6 (Protozoal diseases complicating pregnancy, childbirth and the puerperium); O98.7 (Human",,,,,,,
"immunodeficiency [HIV] disease complicating pregnancy, childbirth and the puerperium); O98.8 (Other maternal infectious and",,,,,,,
"parasitic diseases complicating pregnancy, childbirth and the puerperium); O98.9 (Unspecified maternal infectious or parasitic",,,,,,,
"disease complicating pregnancy, childbirth and the puerperium); O99.0 (Anaemia complicating pregnancy, childbirth and the",,,,,,,
puerperium); O99.1 (Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,,,,,,,
"complicating pregnancy, childbirth and the puerperium); O99.2 (Endocrine, nutritional and metabolic diseases complicating",,,,,,,
"pregnancy, childbirth and the puerperium); O99.3 (Mental disorders and diseases of the nervous system complicating pregnancy,",,,,,,,
"childbirth and the puerperium); O99.4 (Diseases of the circulatory system complicating pregnancy, childbirth and the",,,,,,,
"puerperium); O99.5 (Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium); O99.6 (Diseases",,,,,,,
"of the digestive system complicating pregnancy, childbirth and the puerperium); O99.7 (Diseases of the skin and subcutaneous",,,,,,,
"tissue complicating pregnancy, childbirth and the puerperium); O99.8 (Other specified diseases and conditions complicating",,,,,,,
"pregnancy, childbirth and the puerperium)",,,,,,,
Group By: State; Year,,,,,,,
Show Totals: Disabled,,,,,,,
Show Zero Values: False,,,,,,,
Show Suppressed: False,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,
---,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,
---,,,,,,,
"Query Date: Mar 11, 2023 1:51:02 AM",,,,,,,
---,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,,,,,
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Mar 11, 2023 1:51:02 AM",,,,,,,
---,,,,,,,
Messages:,,,,,,,
1. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,
2. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,,,
---,,,,,,,
Caveats:,,,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,,,,,,
"3. The population figures for year 2021 are single-race estimates of the July 1 resident population, from the Vintage 2021",,,,,,,
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates",,,,,,,
"of the July 1 resident population, from the Vintage 2020 postcensal series released by the Census Bureau on July 27, 2021. The",,,,,,,
"population figures for year 2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal",,,,,,,
"series released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,,,
"July 1 resident population, from the Vintage 2018 postcensal series released by the Census Bureau on June 20, 2019.",,,,,,,
4. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,,,
Group.,,,,,,,
5. Changes to cause of death classification affect reporting trends. More information:,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#ICD-10 Changes.,,,,,,,
