"Notes"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Year"	"Year Code"	"Abnormal Conditions Checked"	"Abnormal Conditions Checked Code"	Births
	"11 prenatal visits"	"11"	"2018"	"2018"	"At least one checked"	"0"	31421
	"11 prenatal visits"	"11"	"2018"	"2018"	"None checked"	"1"	344857
	"11 prenatal visits"	"11"	"2019"	"2019"	"At least one checked"	"0"	32802
	"11 prenatal visits"	"11"	"2019"	"2019"	"None checked"	"1"	345191
	"11 prenatal visits"	"11"	"2020"	"2020"	"At least one checked"	"0"	32695
	"11 prenatal visits"	"11"	"2020"	"2020"	"None checked"	"1"	348358
	"11 prenatal visits"	"11"	"2021"	"2021"	"At least one checked"	"0"	35651
	"11 prenatal visits"	"11"	"2021"	"2021"	"None checked"	"1"	362158
	"12 prenatal visits"	"12"	"2018"	"2018"	"At least one checked"	"0"	47388
	"12 prenatal visits"	"12"	"2018"	"2018"	"None checked"	"1"	540417
	"12 prenatal visits"	"12"	"2019"	"2019"	"At least one checked"	"0"	47881
	"12 prenatal visits"	"12"	"2019"	"2019"	"None checked"	"1"	528952
	"12 prenatal visits"	"12"	"2020"	"2020"	"At least one checked"	"0"	44867
	"12 prenatal visits"	"12"	"2020"	"2020"	"None checked"	"1"	487553
	"12 prenatal visits"	"12"	"2021"	"2021"	"At least one checked"	"0"	46624
	"12 prenatal visits"	"12"	"2021"	"2021"	"None checked"	"1"	498500
	"13 prenatal visits"	"13"	"2018"	"2018"	"At least one checked"	"0"	27888
	"13 prenatal visits"	"13"	"2018"	"2018"	"None checked"	"1"	335785
	"13 prenatal visits"	"13"	"2019"	"2019"	"At least one checked"	"0"	28002
	"13 prenatal visits"	"13"	"2019"	"2019"	"None checked"	"1"	330202
	"13 prenatal visits"	"13"	"2020"	"2020"	"At least one checked"	"0"	25133
	"13 prenatal visits"	"13"	"2020"	"2020"	"None checked"	"1"	295541
	"13 prenatal visits"	"13"	"2021"	"2021"	"At least one checked"	"0"	27321
	"13 prenatal visits"	"13"	"2021"	"2021"	"None checked"	"1"	307334
	"14 prenatal visits"	"14"	"2018"	"2018"	"At least one checked"	"0"	23606
	"14 prenatal visits"	"14"	"2018"	"2018"	"None checked"	"1"	282061
	"14 prenatal visits"	"14"	"2019"	"2019"	"At least one checked"	"0"	24012
	"14 prenatal visits"	"14"	"2019"	"2019"	"None checked"	"1"	275570
	"14 prenatal visits"	"14"	"2020"	"2020"	"At least one checked"	"0"	21288
	"14 prenatal visits"	"14"	"2020"	"2020"	"None checked"	"1"	235337
	"14 prenatal visits"	"14"	"2021"	"2021"	"At least one checked"	"0"	22446
	"14 prenatal visits"	"14"	"2021"	"2021"	"None checked"	"1"	238315
	"15 prenatal visits"	"15"	"2018"	"2018"	"At least one checked"	"0"	20962
	"15 prenatal visits"	"15"	"2018"	"2018"	"None checked"	"1"	210051
	"15 prenatal visits"	"15"	"2019"	"2019"	"At least one checked"	"0"	20791
	"15 prenatal visits"	"15"	"2019"	"2019"	"None checked"	"1"	208907
	"15 prenatal visits"	"15"	"2020"	"2020"	"At least one checked"	"0"	17504
	"15 prenatal visits"	"15"	"2020"	"2020"	"None checked"	"1"	174189
	"15 prenatal visits"	"15"	"2021"	"2021"	"At least one checked"	"0"	18073
	"15 prenatal visits"	"15"	"2021"	"2021"	"None checked"	"1"	168242
	"16 prenatal visits"	"16"	"2018"	"2018"	"At least one checked"	"0"	10754
	"16 prenatal visits"	"16"	"2018"	"2018"	"None checked"	"1"	109254
	"16 prenatal visits"	"16"	"2019"	"2019"	"At least one checked"	"0"	11171
	"16 prenatal visits"	"16"	"2019"	"2019"	"None checked"	"1"	109940
	"16 prenatal visits"	"16"	"2020"	"2020"	"At least one checked"	"0"	9825
	"16 prenatal visits"	"16"	"2020"	"2020"	"None checked"	"1"	90301
	"16 prenatal visits"	"16"	"2021"	"2021"	"At least one checked"	"0"	9701
	"16 prenatal visits"	"16"	"2021"	"2021"	"None checked"	"1"	89305
	"17 prenatal visits"	"17"	"2018"	"2018"	"At least one checked"	"0"	6027
	"17 prenatal visits"	"17"	"2018"	"2018"	"None checked"	"1"	53212
	"17 prenatal visits"	"17"	"2019"	"2019"	"At least one checked"	"0"	6175
	"17 prenatal visits"	"17"	"2019"	"2019"	"None checked"	"1"	52941
	"17 prenatal visits"	"17"	"2020"	"2020"	"At least one checked"	"0"	5309
	"17 prenatal visits"	"17"	"2020"	"2020"	"None checked"	"1"	44590
	"17 prenatal visits"	"17"	"2021"	"2021"	"At least one checked"	"0"	5552
	"17 prenatal visits"	"17"	"2021"	"2021"	"None checked"	"1"	45565
	"18 prenatal visits"	"18"	"2018"	"2018"	"At least one checked"	"0"	5422
	"18 prenatal visits"	"18"	"2018"	"2018"	"None checked"	"1"	42997
	"18 prenatal visits"	"18"	"2019"	"2019"	"At least one checked"	"0"	5557
	"18 prenatal visits"	"18"	"2019"	"2019"	"None checked"	"1"	42267
	"18 prenatal visits"	"18"	"2020"	"2020"	"At least one checked"	"0"	4866
	"18 prenatal visits"	"18"	"2020"	"2020"	"None checked"	"1"	35839
	"18 prenatal visits"	"18"	"2021"	"2021"	"At least one checked"	"0"	5079
	"18 prenatal visits"	"18"	"2021"	"2021"	"None checked"	"1"	35942
	"19 prenatal visits"	"19"	"2018"	"2018"	"At least one checked"	"0"	2931
	"19 prenatal visits"	"19"	"2018"	"2018"	"None checked"	"1"	22619
	"19 prenatal visits"	"19"	"2019"	"2019"	"At least one checked"	"0"	3295
	"19 prenatal visits"	"19"	"2019"	"2019"	"None checked"	"1"	23836
	"19 prenatal visits"	"19"	"2020"	"2020"	"At least one checked"	"0"	2860
	"19 prenatal visits"	"19"	"2020"	"2020"	"None checked"	"1"	20891
	"19 prenatal visits"	"19"	"2021"	"2021"	"At least one checked"	"0"	3095
	"19 prenatal visits"	"19"	"2021"	"2021"	"None checked"	"1"	21628
	"20 prenatal visits"	"20"	"2018"	"2018"	"At least one checked"	"0"	6085
	"20 prenatal visits"	"20"	"2018"	"2018"	"None checked"	"1"	37912
	"20 prenatal visits"	"20"	"2019"	"2019"	"At least one checked"	"0"	6315
	"20 prenatal visits"	"20"	"2019"	"2019"	"None checked"	"1"	37465
	"20 prenatal visits"	"20"	"2020"	"2020"	"At least one checked"	"0"	5413
	"20 prenatal visits"	"20"	"2020"	"2020"	"None checked"	"1"	33477
	"20 prenatal visits"	"20"	"2021"	"2021"	"At least one checked"	"0"	5390
	"20 prenatal visits"	"20"	"2021"	"2021"	"None checked"	"1"	33183
	"21 prenatal visits"	"21"	"2018"	"2018"	"At least one checked"	"0"	1792
	"21 prenatal visits"	"21"	"2018"	"2018"	"None checked"	"1"	11769
	"21 prenatal visits"	"21"	"2019"	"2019"	"At least one checked"	"0"	1878
	"21 prenatal visits"	"21"	"2019"	"2019"	"None checked"	"1"	12492
	"21 prenatal visits"	"21"	"2020"	"2020"	"At least one checked"	"0"	1789
	"21 prenatal visits"	"21"	"2020"	"2020"	"None checked"	"1"	11424
	"21 prenatal visits"	"21"	"2021"	"2021"	"At least one checked"	"0"	1967
	"21 prenatal visits"	"21"	"2021"	"2021"	"None checked"	"1"	12513
	"22 prenatal visits"	"22"	"2018"	"2018"	"At least one checked"	"0"	1441
	"22 prenatal visits"	"22"	"2018"	"2018"	"None checked"	"1"	9565
	"22 prenatal visits"	"22"	"2019"	"2019"	"At least one checked"	"0"	1579
	"22 prenatal visits"	"22"	"2019"	"2019"	"None checked"	"1"	10227
	"22 prenatal visits"	"22"	"2020"	"2020"	"At least one checked"	"0"	1370
	"22 prenatal visits"	"22"	"2020"	"2020"	"None checked"	"1"	8532
	"22 prenatal visits"	"22"	"2021"	"2021"	"At least one checked"	"0"	1557
	"22 prenatal visits"	"22"	"2021"	"2021"	"None checked"	"1"	8963
	"23 prenatal visits"	"23"	"2018"	"2018"	"At least one checked"	"0"	1003
	"23 prenatal visits"	"23"	"2018"	"2018"	"None checked"	"1"	6386
	"23 prenatal visits"	"23"	"2019"	"2019"	"At least one checked"	"0"	1103
	"23 prenatal visits"	"23"	"2019"	"2019"	"None checked"	"1"	6823
	"23 prenatal visits"	"23"	"2020"	"2020"	"At least one checked"	"0"	943
	"23 prenatal visits"	"23"	"2020"	"2020"	"None checked"	"1"	6124
	"23 prenatal visits"	"23"	"2021"	"2021"	"At least one checked"	"0"	1107
	"23 prenatal visits"	"23"	"2021"	"2021"	"None checked"	"1"	6491
	"24 prenatal visits"	"24"	"2018"	"2018"	"At least one checked"	"0"	925
	"24 prenatal visits"	"24"	"2018"	"2018"	"None checked"	"1"	5483
	"24 prenatal visits"	"24"	"2019"	"2019"	"At least one checked"	"0"	992
	"24 prenatal visits"	"24"	"2019"	"2019"	"None checked"	"1"	5768
	"24 prenatal visits"	"24"	"2020"	"2020"	"At least one checked"	"0"	897
	"24 prenatal visits"	"24"	"2020"	"2020"	"None checked"	"1"	5005
	"24 prenatal visits"	"24"	"2021"	"2021"	"At least one checked"	"0"	1113
	"24 prenatal visits"	"24"	"2021"	"2021"	"None checked"	"1"	5437
	"25 prenatal visits"	"25"	"2018"	"2018"	"At least one checked"	"0"	1364
	"25 prenatal visits"	"25"	"2018"	"2018"	"None checked"	"1"	7205
	"25 prenatal visits"	"25"	"2019"	"2019"	"At least one checked"	"0"	1489
	"25 prenatal visits"	"25"	"2019"	"2019"	"None checked"	"1"	7304
	"25 prenatal visits"	"25"	"2020"	"2020"	"At least one checked"	"0"	1214
	"25 prenatal visits"	"25"	"2020"	"2020"	"None checked"	"1"	6053
	"25 prenatal visits"	"25"	"2021"	"2021"	"At least one checked"	"0"	1395
	"25 prenatal visits"	"25"	"2021"	"2021"	"None checked"	"1"	6821
	"26 prenatal visits"	"26"	"2018"	"2018"	"At least one checked"	"0"	483
	"26 prenatal visits"	"26"	"2018"	"2018"	"None checked"	"1"	2895
	"26 prenatal visits"	"26"	"2019"	"2019"	"At least one checked"	"0"	611
	"26 prenatal visits"	"26"	"2019"	"2019"	"None checked"	"1"	3003
	"26 prenatal visits"	"26"	"2020"	"2020"	"At least one checked"	"0"	498
	"26 prenatal visits"	"26"	"2020"	"2020"	"None checked"	"1"	2650
	"26 prenatal visits"	"26"	"2021"	"2021"	"At least one checked"	"0"	620
	"26 prenatal visits"	"26"	"2021"	"2021"	"None checked"	"1"	3074
	"27 prenatal visits"	"27"	"2018"	"2018"	"At least one checked"	"0"	403
	"27 prenatal visits"	"27"	"2018"	"2018"	"None checked"	"1"	2111
	"27 prenatal visits"	"27"	"2019"	"2019"	"At least one checked"	"0"	365
	"27 prenatal visits"	"27"	"2019"	"2019"	"None checked"	"1"	2258
	"27 prenatal visits"	"27"	"2020"	"2020"	"At least one checked"	"0"	378
	"27 prenatal visits"	"27"	"2020"	"2020"	"None checked"	"1"	1918
	"27 prenatal visits"	"27"	"2021"	"2021"	"At least one checked"	"0"	419
	"27 prenatal visits"	"27"	"2021"	"2021"	"None checked"	"1"	2095
	"28 prenatal visits"	"28"	"2018"	"2018"	"At least one checked"	"0"	342
	"28 prenatal visits"	"28"	"2018"	"2018"	"None checked"	"1"	1809
	"28 prenatal visits"	"28"	"2019"	"2019"	"At least one checked"	"0"	366
	"28 prenatal visits"	"28"	"2019"	"2019"	"None checked"	"1"	1924
	"28 prenatal visits"	"28"	"2020"	"2020"	"At least one checked"	"0"	329
	"28 prenatal visits"	"28"	"2020"	"2020"	"None checked"	"1"	1593
	"28 prenatal visits"	"28"	"2021"	"2021"	"At least one checked"	"0"	419
	"28 prenatal visits"	"28"	"2021"	"2021"	"None checked"	"1"	1917
	"29 prenatal visits"	"29"	"2018"	"2018"	"At least one checked"	"0"	233
	"29 prenatal visits"	"29"	"2018"	"2018"	"None checked"	"1"	1185
	"29 prenatal visits"	"29"	"2019"	"2019"	"At least one checked"	"0"	264
	"29 prenatal visits"	"29"	"2019"	"2019"	"None checked"	"1"	1204
	"29 prenatal visits"	"29"	"2020"	"2020"	"At least one checked"	"0"	237
	"29 prenatal visits"	"29"	"2020"	"2020"	"None checked"	"1"	1120
	"29 prenatal visits"	"29"	"2021"	"2021"	"At least one checked"	"0"	267
	"29 prenatal visits"	"29"	"2021"	"2021"	"None checked"	"1"	1262
	"30 prenatal visits"	"30"	"2018"	"2018"	"At least one checked"	"0"	1033
	"30 prenatal visits"	"30"	"2018"	"2018"	"None checked"	"1"	4056
	"30 prenatal visits"	"30"	"2019"	"2019"	"At least one checked"	"0"	901
	"30 prenatal visits"	"30"	"2019"	"2019"	"None checked"	"1"	3548
	"30 prenatal visits"	"30"	"2020"	"2020"	"At least one checked"	"0"	590
	"30 prenatal visits"	"30"	"2020"	"2020"	"None checked"	"1"	2721
	"30 prenatal visits"	"30"	"2021"	"2021"	"At least one checked"	"0"	708
	"30 prenatal visits"	"30"	"2021"	"2021"	"None checked"	"1"	3006
	"31 prenatal visits"	"31"	"2018"	"2018"	"At least one checked"	"0"	151
	"31 prenatal visits"	"31"	"2018"	"2018"	"None checked"	"1"	670
	"31 prenatal visits"	"31"	"2019"	"2019"	"At least one checked"	"0"	160
	"31 prenatal visits"	"31"	"2019"	"2019"	"None checked"	"1"	740
	"31 prenatal visits"	"31"	"2020"	"2020"	"At least one checked"	"0"	164
	"31 prenatal visits"	"31"	"2020"	"2020"	"None checked"	"1"	635
	"31 prenatal visits"	"31"	"2021"	"2021"	"At least one checked"	"0"	164
	"31 prenatal visits"	"31"	"2021"	"2021"	"None checked"	"1"	731
	"32 prenatal visits"	"32"	"2018"	"2018"	"At least one checked"	"0"	132
	"32 prenatal visits"	"32"	"2018"	"2018"	"None checked"	"1"	702
	"32 prenatal visits"	"32"	"2019"	"2019"	"At least one checked"	"0"	141
	"32 prenatal visits"	"32"	"2019"	"2019"	"None checked"	"1"	724
	"32 prenatal visits"	"32"	"2020"	"2020"	"At least one checked"	"0"	159
	"32 prenatal visits"	"32"	"2020"	"2020"	"None checked"	"1"	584
	"32 prenatal visits"	"32"	"2021"	"2021"	"At least one checked"	"0"	181
	"32 prenatal visits"	"32"	"2021"	"2021"	"None checked"	"1"	700
	"33 prenatal visits"	"33"	"2018"	"2018"	"At least one checked"	"0"	106
	"33 prenatal visits"	"33"	"2018"	"2018"	"None checked"	"1"	423
	"33 prenatal visits"	"33"	"2019"	"2019"	"At least one checked"	"0"	133
	"33 prenatal visits"	"33"	"2019"	"2019"	"None checked"	"1"	515
	"33 prenatal visits"	"33"	"2020"	"2020"	"At least one checked"	"0"	98
	"33 prenatal visits"	"33"	"2020"	"2020"	"None checked"	"1"	412
	"33 prenatal visits"	"33"	"2021"	"2021"	"At least one checked"	"0"	141
	"33 prenatal visits"	"33"	"2021"	"2021"	"None checked"	"1"	526
	"34 prenatal visits"	"34"	"2018"	"2018"	"At least one checked"	"0"	104
	"34 prenatal visits"	"34"	"2018"	"2018"	"None checked"	"1"	362
	"34 prenatal visits"	"34"	"2019"	"2019"	"At least one checked"	"0"	131
	"34 prenatal visits"	"34"	"2019"	"2019"	"None checked"	"1"	402
	"34 prenatal visits"	"34"	"2020"	"2020"	"At least one checked"	"0"	100
	"34 prenatal visits"	"34"	"2020"	"2020"	"None checked"	"1"	338
	"34 prenatal visits"	"34"	"2021"	"2021"	"At least one checked"	"0"	118
	"34 prenatal visits"	"34"	"2021"	"2021"	"None checked"	"1"	418
	"35 prenatal visits"	"35"	"2018"	"2018"	"At least one checked"	"0"	163
	"35 prenatal visits"	"35"	"2018"	"2018"	"None checked"	"1"	598
	"35 prenatal visits"	"35"	"2019"	"2019"	"At least one checked"	"0"	159
	"35 prenatal visits"	"35"	"2019"	"2019"	"None checked"	"1"	595
	"35 prenatal visits"	"35"	"2020"	"2020"	"At least one checked"	"0"	127
	"35 prenatal visits"	"35"	"2020"	"2020"	"None checked"	"1"	512
	"35 prenatal visits"	"35"	"2021"	"2021"	"At least one checked"	"0"	159
	"35 prenatal visits"	"35"	"2021"	"2021"	"None checked"	"1"	589
	"36 prenatal visits"	"36"	"2018"	"2018"	"At least one checked"	"0"	69
	"36 prenatal visits"	"36"	"2018"	"2018"	"None checked"	"1"	399
	"36 prenatal visits"	"36"	"2019"	"2019"	"At least one checked"	"0"	91
	"36 prenatal visits"	"36"	"2019"	"2019"	"None checked"	"1"	446
	"36 prenatal visits"	"36"	"2020"	"2020"	"At least one checked"	"0"	84
	"36 prenatal visits"	"36"	"2020"	"2020"	"None checked"	"1"	318
	"36 prenatal visits"	"36"	"2021"	"2021"	"At least one checked"	"0"	119
	"36 prenatal visits"	"36"	"2021"	"2021"	"None checked"	"1"	386
	"37 prenatal visits"	"37"	"2018"	"2018"	"At least one checked"	"0"	50
	"37 prenatal visits"	"37"	"2018"	"2018"	"None checked"	"1"	276
	"37 prenatal visits"	"37"	"2019"	"2019"	"At least one checked"	"0"	65
	"37 prenatal visits"	"37"	"2019"	"2019"	"None checked"	"1"	371
	"37 prenatal visits"	"37"	"2020"	"2020"	"At least one checked"	"0"	74
	"37 prenatal visits"	"37"	"2020"	"2020"	"None checked"	"1"	316
	"37 prenatal visits"	"37"	"2021"	"2021"	"At least one checked"	"0"	82
	"37 prenatal visits"	"37"	"2021"	"2021"	"None checked"	"1"	328
	"38 prenatal visits"	"38"	"2018"	"2018"	"At least one checked"	"0"	48
	"38 prenatal visits"	"38"	"2018"	"2018"	"None checked"	"1"	373
	"38 prenatal visits"	"38"	"2019"	"2019"	"At least one checked"	"0"	61
	"38 prenatal visits"	"38"	"2019"	"2019"	"None checked"	"1"	443
	"38 prenatal visits"	"38"	"2020"	"2020"	"At least one checked"	"0"	51
	"38 prenatal visits"	"38"	"2020"	"2020"	"None checked"	"1"	398
	"38 prenatal visits"	"38"	"2021"	"2021"	"At least one checked"	"0"	63
	"38 prenatal visits"	"38"	"2021"	"2021"	"None checked"	"1"	365
	"39 prenatal visits"	"39"	"2018"	"2018"	"At least one checked"	"0"	46
	"39 prenatal visits"	"39"	"2018"	"2018"	"None checked"	"1"	493
	"39 prenatal visits"	"39"	"2019"	"2019"	"At least one checked"	"0"	51
	"39 prenatal visits"	"39"	"2019"	"2019"	"None checked"	"1"	544
	"39 prenatal visits"	"39"	"2020"	"2020"	"At least one checked"	"0"	57
	"39 prenatal visits"	"39"	"2020"	"2020"	"None checked"	"1"	527
	"39 prenatal visits"	"39"	"2021"	"2021"	"At least one checked"	"0"	65
	"39 prenatal visits"	"39"	"2021"	"2021"	"None checked"	"1"	500
	"40 prenatal visits"	"40"	"2018"	"2018"	"At least one checked"	"0"	166
	"40 prenatal visits"	"40"	"2018"	"2018"	"None checked"	"1"	791
	"40 prenatal visits"	"40"	"2019"	"2019"	"At least one checked"	"0"	175
	"40 prenatal visits"	"40"	"2019"	"2019"	"None checked"	"1"	816
	"40 prenatal visits"	"40"	"2020"	"2020"	"At least one checked"	"0"	114
	"40 prenatal visits"	"40"	"2020"	"2020"	"None checked"	"1"	636
	"40 prenatal visits"	"40"	"2021"	"2021"	"At least one checked"	"0"	153
	"40 prenatal visits"	"40"	"2021"	"2021"	"None checked"	"1"	687
	"41 prenatal visits"	"41"	"2018"	"2018"	"At least one checked"	"0"	25
	"41 prenatal visits"	"41"	"2018"	"2018"	"None checked"	"1"	165
	"41 prenatal visits"	"41"	"2019"	"2019"	"At least one checked"	"0"	40
	"41 prenatal visits"	"41"	"2019"	"2019"	"None checked"	"1"	197
	"41 prenatal visits"	"41"	"2020"	"2020"	"At least one checked"	"0"	37
	"41 prenatal visits"	"41"	"2020"	"2020"	"None checked"	"1"	165
	"41 prenatal visits"	"41"	"2021"	"2021"	"At least one checked"	"0"	42
	"41 prenatal visits"	"41"	"2021"	"2021"	"None checked"	"1"	175
	"42 prenatal visits"	"42"	"2018"	"2018"	"At least one checked"	"0"	26
	"42 prenatal visits"	"42"	"2018"	"2018"	"None checked"	"1"	94
	"42 prenatal visits"	"42"	"2019"	"2019"	"At least one checked"	"0"	22
	"42 prenatal visits"	"42"	"2019"	"2019"	"None checked"	"1"	96
	"42 prenatal visits"	"42"	"2020"	"2020"	"At least one checked"	"0"	24
	"42 prenatal visits"	"42"	"2020"	"2020"	"None checked"	"1"	63
	"42 prenatal visits"	"42"	"2021"	"2021"	"At least one checked"	"0"	32
	"42 prenatal visits"	"42"	"2021"	"2021"	"None checked"	"1"	92
	"43 prenatal visits"	"43"	"2018"	"2018"	"At least one checked"	"0"	11
	"43 prenatal visits"	"43"	"2018"	"2018"	"None checked"	"1"	64
	"43 prenatal visits"	"43"	"2019"	"2019"	"At least one checked"	"0"	12
	"43 prenatal visits"	"43"	"2019"	"2019"	"None checked"	"1"	65
