"Notes"	"Number of Prenatal Visits"	"Number of Prenatal Visits Code"	"Year"	"Year Code"	"Abnormal Conditions Checked"	"Abnormal Conditions Checked Code"	Births
	"18 prenatal visits"	"18"	"2018"	"2018"	"At least one checked"	"0"	5422
	"18 prenatal visits"	"18"	"2019"	"2019"	"At least one checked"	"0"	5557
	"18 prenatal visits"	"18"	"2020"	"2020"	"At least one checked"	"0"	4866
	"18 prenatal visits"	"18"	"2021"	"2021"	"At least one checked"	"0"	5079
	"19 prenatal visits"	"19"	"2018"	"2018"	"At least one checked"	"0"	2931
	"19 prenatal visits"	"19"	"2019"	"2019"	"At least one checked"	"0"	3295
	"19 prenatal visits"	"19"	"2020"	"2020"	"At least one checked"	"0"	2860
	"19 prenatal visits"	"19"	"2021"	"2021"	"At least one checked"	"0"	3095
	"20 prenatal visits"	"20"	"2018"	"2018"	"At least one checked"	"0"	6085
	"20 prenatal visits"	"20"	"2019"	"2019"	"At least one checked"	"0"	6315
	"20 prenatal visits"	"20"	"2020"	"2020"	"At least one checked"	"0"	5413
	"20 prenatal visits"	"20"	"2021"	"2021"	"At least one checked"	"0"	5390
	"21 prenatal visits"	"21"	"2018"	"2018"	"At least one checked"	"0"	1792
	"21 prenatal visits"	"21"	"2019"	"2019"	"At least one checked"	"0"	1878
	"21 prenatal visits"	"21"	"2020"	"2020"	"At least one checked"	"0"	1789
	"21 prenatal visits"	"21"	"2021"	"2021"	"At least one checked"	"0"	1967
	"22 prenatal visits"	"22"	"2018"	"2018"	"At least one checked"	"0"	1441
	"22 prenatal visits"	"22"	"2019"	"2019"	"At least one checked"	"0"	1579
	"22 prenatal visits"	"22"	"2020"	"2020"	"At least one checked"	"0"	1370
	"22 prenatal visits"	"22"	"2021"	"2021"	"At least one checked"	"0"	1557
	"23 prenatal visits"	"23"	"2018"	"2018"	"At least one checked"	"0"	1003
	"23 prenatal visits"	"23"	"2019"	"2019"	"At least one checked"	"0"	1103
	"23 prenatal visits"	"23"	"2020"	"2020"	"At least one checked"	"0"	943
	"23 prenatal visits"	"23"	"2021"	"2021"	"At least one checked"	"0"	1107
	"24 prenatal visits"	"24"	"2018"	"2018"	"At least one checked"	"0"	925
	"24 prenatal visits"	"24"	"2019"	"2019"	"At least one checked"	"0"	992
	"24 prenatal visits"	"24"	"2020"	"2020"	"At least one checked"	"0"	897
	"24 prenatal visits"	"24"	"2021"	"2021"	"At least one checked"	"0"	1113
	"25 prenatal visits"	"25"	"2018"	"2018"	"At least one checked"	"0"	1364
	"25 prenatal visits"	"25"	"2019"	"2019"	"At least one checked"	"0"	1489
	"25 prenatal visits"	"25"	"2020"	"2020"	"At least one checked"	"0"	1214
	"25 prenatal visits"	"25"	"2021"	"2021"	"At least one checked"	"0"	1395
	"26 prenatal visits"	"26"	"2018"	"2018"	"At least one checked"	"0"	483
	"26 prenatal visits"	"26"	"2019"	"2019"	"At least one checked"	"0"	611
	"26 prenatal visits"	"26"	"2020"	"2020"	"At least one checked"	"0"	498
	"26 prenatal visits"	"26"	"2021"	"2021"	"At least one checked"	"0"	620
	"27 prenatal visits"	"27"	"2018"	"2018"	"At least one checked"	"0"	403
	"27 prenatal visits"	"27"	"2019"	"2019"	"At least one checked"	"0"	365
	"27 prenatal visits"	"27"	"2020"	"2020"	"At least one checked"	"0"	378
	"27 prenatal visits"	"27"	"2021"	"2021"	"At least one checked"	"0"	419
	"28 prenatal visits"	"28"	"2018"	"2018"	"At least one checked"	"0"	342
	"28 prenatal visits"	"28"	"2019"	"2019"	"At least one checked"	"0"	366
	"28 prenatal visits"	"28"	"2020"	"2020"	"At least one checked"	"0"	329
	"28 prenatal visits"	"28"	"2021"	"2021"	"At least one checked"	"0"	419
	"29 prenatal visits"	"29"	"2018"	"2018"	"At least one checked"	"0"	233
	"29 prenatal visits"	"29"	"2019"	"2019"	"At least one checked"	"0"	264
	"29 prenatal visits"	"29"	"2020"	"2020"	"At least one checked"	"0"	237
	"29 prenatal visits"	"29"	"2021"	"2021"	"At least one checked"	"0"	267
	"30 prenatal visits"	"30"	"2018"	"2018"	"At least one checked"	"0"	1033
	"30 prenatal visits"	"30"	"2019"	"2019"	"At least one checked"	"0"	901
	"30 prenatal visits"	"30"	"2020"	"2020"	"At least one checked"	"0"	590
	"30 prenatal visits"	"30"	"2021"	"2021"	"At least one checked"	"0"	708
	"31 prenatal visits"	"31"	"2018"	"2018"	"At least one checked"	"0"	151
	"31 prenatal visits"	"31"	"2019"	"2019"	"At least one checked"	"0"	160
	"31 prenatal visits"	"31"	"2020"	"2020"	"At least one checked"	"0"	164
	"31 prenatal visits"	"31"	"2021"	"2021"	"At least one checked"	"0"	164
	"32 prenatal visits"	"32"	"2018"	"2018"	"At least one checked"	"0"	132
	"32 prenatal visits"	"32"	"2019"	"2019"	"At least one checked"	"0"	141
	"32 prenatal visits"	"32"	"2020"	"2020"	"At least one checked"	"0"	159
	"32 prenatal visits"	"32"	"2021"	"2021"	"At least one checked"	"0"	181
	"33 prenatal visits"	"33"	"2018"	"2018"	"At least one checked"	"0"	106
	"33 prenatal visits"	"33"	"2019"	"2019"	"At least one checked"	"0"	133
	"33 prenatal visits"	"33"	"2020"	"2020"	"At least one checked"	"0"	98
	"33 prenatal visits"	"33"	"2021"	"2021"	"At least one checked"	"0"	141
	"34 prenatal visits"	"34"	"2018"	"2018"	"At least one checked"	"0"	104
	"34 prenatal visits"	"34"	"2019"	"2019"	"At least one checked"	"0"	131
	"34 prenatal visits"	"34"	"2020"	"2020"	"At least one checked"	"0"	100
	"34 prenatal visits"	"34"	"2021"	"2021"	"At least one checked"	"0"	118
	"35 prenatal visits"	"35"	"2018"	"2018"	"At least one checked"	"0"	163
	"35 prenatal visits"	"35"	"2019"	"2019"	"At least one checked"	"0"	159
	"35 prenatal visits"	"35"	"2020"	"2020"	"At least one checked"	"0"	127
	"35 prenatal visits"	"35"	"2021"	"2021"	"At least one checked"	"0"	159
	"36 prenatal visits"	"36"	"2018"	"2018"	"At least one checked"	"0"	69
	"36 prenatal visits"	"36"	"2019"	"2019"	"At least one checked"	"0"	91
	"36 prenatal visits"	"36"	"2020"	"2020"	"At least one checked"	"0"	84
	"36 prenatal visits"	"36"	"2021"	"2021"	"At least one checked"	"0"	119
	"37 prenatal visits"	"37"	"2018"	"2018"	"At least one checked"	"0"	50
	"37 prenatal visits"	"37"	"2019"	"2019"	"At least one checked"	"0"	65
	"37 prenatal visits"	"37"	"2020"	"2020"	"At least one checked"	"0"	74
	"37 prenatal visits"	"37"	"2021"	"2021"	"At least one checked"	"0"	82
	"38 prenatal visits"	"38"	"2018"	"2018"	"At least one checked"	"0"	48
	"38 prenatal visits"	"38"	"2019"	"2019"	"At least one checked"	"0"	61
	"38 prenatal visits"	"38"	"2020"	"2020"	"At least one checked"	"0"	51
	"38 prenatal visits"	"38"	"2021"	"2021"	"At least one checked"	"0"	63
	"39 prenatal visits"	"39"	"2018"	"2018"	"At least one checked"	"0"	46
	"39 prenatal visits"	"39"	"2019"	"2019"	"At least one checked"	"0"	51
	"39 prenatal visits"	"39"	"2020"	"2020"	"At least one checked"	"0"	57
	"39 prenatal visits"	"39"	"2021"	"2021"	"At least one checked"	"0"	65
	"40 prenatal visits"	"40"	"2018"	"2018"	"At least one checked"	"0"	166
	"40 prenatal visits"	"40"	"2019"	"2019"	"At least one checked"	"0"	175
	"40 prenatal visits"	"40"	"2020"	"2020"	"At least one checked"	"0"	114
	"40 prenatal visits"	"40"	"2021"	"2021"	"At least one checked"	"0"	153
	"41 prenatal visits"	"41"	"2018"	"2018"	"At least one checked"	"0"	25
	"41 prenatal visits"	"41"	"2019"	"2019"	"At least one checked"	"0"	40
	"41 prenatal visits"	"41"	"2020"	"2020"	"At least one checked"	"0"	37
	"41 prenatal visits"	"41"	"2021"	"2021"	"At least one checked"	"0"	42
	"42 prenatal visits"	"42"	"2018"	"2018"	"At least one checked"	"0"	26
	"42 prenatal visits"	"42"	"2019"	"2019"	"At least one checked"	"0"	22
	"42 prenatal visits"	"42"	"2020"	"2020"	"At least one checked"	"0"	24
	"42 prenatal visits"	"42"	"2021"	"2021"	"At least one checked"	"0"	32
	"43 prenatal visits"	"43"	"2018"	"2018"	"At least one checked"	"0"	11
	"43 prenatal visits"	"43"	"2019"	"2019"	"At least one checked"	"0"	12
	"43 prenatal visits"	"43"	"2020"	"2020"	"At least one checked"	"0"	13
	"43 prenatal visits"	"43"	"2021"	"2021"	"At least one checked"	"0"	14
	"44 prenatal visits"	"44"	"2018"	"2018"	"At least one checked"	"0"	11
	"44 prenatal visits"	"44"	"2019"	"2019"	"At least one checked"	"0"	12
	"44 prenatal visits"	"44"	"2020"	"2020"	"At least one checked"	"0"	18
	"44 prenatal visits"	"44"	"2021"	"2021"	"At least one checked"	"0"	25
	"45 prenatal visits"	"45"	"2018"	"2018"	"At least one checked"	"0"	44
	"45 prenatal visits"	"45"	"2019"	"2019"	"At least one checked"	"0"	35
	"45 prenatal visits"	"45"	"2020"	"2020"	"At least one checked"	"0"	23
	"45 prenatal visits"	"45"	"2021"	"2021"	"At least one checked"	"0"	46
	"46 prenatal visits"	"46"	"2018"	"2018"	"At least one checked"	"0"	12
	"46 prenatal visits"	"46"	"2019"	"2019"	"At least one checked"	"0"	13
	"46 prenatal visits"	"46"	"2020"	"2020"	"At least one checked"	"0"	13
	"46 prenatal visits"	"46"	"2021"	"2021"	"At least one checked"	"0"	14
	"47 prenatal visits"	"47"	"2019"	"2019"	"At least one checked"	"0"	16
	"47 prenatal visits"	"47"	"2021"	"2021"	"At least one checked"	"0"	16
	"48 prenatal visits"	"48"	"2018"	"2018"	"At least one checked"	"0"	12
	"48 prenatal visits"	"48"	"2019"	"2019"	"At least one checked"	"0"	17
	"48 prenatal visits"	"48"	"2020"	"2020"	"At least one checked"	"0"	13
	"48 prenatal visits"	"48"	"2021"	"2021"	"At least one checked"	"0"	18
	"49 prenatal visits"	"49"	"2018"	"2018"	"At least one checked"	"0"	72
	"49 prenatal visits"	"49"	"2019"	"2019"	"At least one checked"	"0"	25
	"49 prenatal visits"	"49"	"2020"	"2020"	"At least one checked"	"0"	16
	"49 prenatal visits"	"49"	"2021"	"2021"	"At least one checked"	"0"	18
	"50 prenatal visits"	"50"	"2018"	"2018"	"At least one checked"	"0"	32
	"50 prenatal visits"	"50"	"2019"	"2019"	"At least one checked"	"0"	48
	"50 prenatal visits"	"50"	"2020"	"2020"	"At least one checked"	"0"	30
	"50 prenatal visits"	"50"	"2021"	"2021"	"At least one checked"	"0"	27
	"60 prenatal visits"	"60"	"2018"	"2018"	"At least one checked"	"0"	15
	"60 prenatal visits"	"60"	"2021"	"2021"	"At least one checked"	"0"	11
	"Unknown or Not Stated"	"99"	"2018"	"2018"	"At least one checked"	"0"	16180
	"Unknown or Not Stated"	"99"	"2019"	"2019"	"At least one checked"	"0"	15204
	"Unknown or Not Stated"	"99"	"2020"	"2020"	"At least one checked"	"0"	13219
	"Unknown or Not Stated"	"99"	"2021"	"2021"	"At least one checked"	"0"	12912
"---"
"Dataset: Natality, 2016-2021 expanded"
"Query Parameters:"
"Abnormal Conditions Checked: At least one checked"
"Year: 2018; 2019; 2020; 2021"
"Group By: Number of Prenatal Visits; Year; Abnormal Conditions Checked"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality-expanded.html for more information."
"---"
"Query Date: Mar 14, 2023 9:03:07 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Natality on CDC WONDER Online Database. Data are from the Natality Records 2016-2021, as compiled from data provided by"
"the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed at"
"http://wonder.cdc.gov/natality-expanded-current.html on Mar 14, 2023 9:03:07 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with suppressed Births are hidden. Use Quick Options above to show suppressed rows."
"---"
Caveats:
"1. 'Suppressed' appears when the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/Natality-expanded.html#Assurance of Confidentiality."
"2. Each birth record represents one liveborn infant."
